source_row,Title,Publication,Date,DOI,remaining_reason,elsevier_status,is_oa,oa_status,best_oa_url,unpaywall_pdf_status,unpaywall_pdf_file,unpaywall_pdf_error
14,High-Mobility IZO Thin-Film Transistors Enabled by Precise Hydrogen Control Using a SiO2–Al2O3Supercycle via Plasma-Enhanced Atomic Layer Deposition,ACS Applied Materials and Interfaces,2025-12-10,10.1021/acsami.5c12926,closed in Unpaywall,404 not found,False,closed,,,,
15,Study on coating modification and electrochemical performance investigation of graphite anode materials for lithium⁃ion batteries,Inorganic Chemicals Industry,2025-12-10,10.19964/j.issn.1006-4990.2025-0021,DOI not found in Unpaywall,404 not found,,doi_not_found,,,,
17,Self-Saturated Deposition and Etching in Atomic-Scale (SDEA) Process of Molybdenum Oxides via Sequential Ozone and Water Reactions,Advanced Materials Technologies,2025-12-03,10.1002/admt.202500964,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500964,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500964')
18,Oxidation Dynamics and Surface Chemistry of Iridium and Iridium Oxide Films Grown by Atomic Layer Deposition Using O2 and O3,Small,2025-12-03,10.1002/smll.202504724,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202504724,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202504724')
19,Dual-purpose alumina ALD coatings for enhanced oxidation resistance and thermal conductivity of boron nitride nanotube fabrics,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004912,OA PDF download failed,404 not found,True,hybrid,https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004912/20813459/063109_1_6.0004912.pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004912/20813459/063109_1_6.0004912.pdf')
22,Temperature-Dependent Atomic Layer Deposition of Passivating ZnO Nanolayers for Dye-Sensitized Solar Cells,Nanomaterials,2025-12-01,10.3390/nano15241891,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2079-4991/15/24/1891/pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2079-4991/15/24/1891/pdf')
23,Deposition and Etching of Ruthenium for Promising Metallization Systems of Integrated Circuits,Russian Microelectronics,2025-12-01,10.1134/S106373972560222X,closed in Unpaywall,404 not found,False,closed,,,,
25,"Surface Functionalisation of Hyaluronic Acid-Based Foams with TiO2 via ALD: Structural, Wettability and Antimicrobial Properties Analysis for Biomedical Applications",Materials,2025-12-01,10.3390/ma18245530,OA PDF download failed,404 not found,True,gold,https://doi.org/10.3390/ma18245530,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/1996-1944/18/24/5530')
26,Effects of layer boundaries on x-ray reflectivity in thermally treated ternary gate dielectrics grown by atomic layer deposition,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004737,closed in Unpaywall,404 not found,False,closed,,,,
27,Modeling diffusion and depletion in high-aspect-ratio atomic layer deposition processes: Process parameters and manufacturing impacts,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004702,closed in Unpaywall,404 not found,False,closed,,,,
29,On the impact of atomic layer deposition processing on the chemical and opto-electrical properties of NiO thin films,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004826,OA PDF download failed,404 not found,True,hybrid,https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004826/20731256/062404_1_6.0004826.pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004826/20731256/062404_1_6.0004826.pdf')
30,ZnO Thin Films as Promising Corrosion Protection on Mg-Based Alloys,Materials,2025-12-01,10.3390/ma18245568,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/1996-1944/18/24/5568/pdf?version=1765455325,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/1996-1944/18/24/5568/pdf?version=1765455325')
34,Regression analysis of temperature-dependent alumina atomic layer deposition growth per cycle using trimethylaluminum and water as precursors,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004738,closed in Unpaywall,404 not found,False,closed,,,,
37,Atomic layer deposition,Nature Reviews Methods Primers,2025-12-01,10.1038/s43586-025-00435-6,closed in Unpaywall,404 not found,False,closed,,,,
40,Area-selective atomic/molecular layer deposition via block copolymer approach: Zn-benzene dithiol deposition as a case study,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004848,OA PDF download failed,404 not found,True,hybrid,https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004848/20729748/062405_1_6.0004848.pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004848/20729748/062405_1_6.0004848.pdf')
45,Low-Temperature Synthesis of Highly Preferentially Oriented ε-Ga2O3 Films for Solar-Blind Detector Application,Nanomaterials,2025-12-01,10.3390/nano15241867,OA PDF download failed,404 not found,True,gold,https://doi.org/10.3390/nano15241867,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2079-4991/15/24/1867')
46,Area selective atomic layer deposition of ruthenium with phenol as a small molecule inhibitor,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004812,closed in Unpaywall,404 not found,False,closed,,,,
51,Effect of plasma parameters on the properties of V2O5 deposited by plasma-enhanced atomic layer deposition,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004718,closed in Unpaywall,404 not found,False,closed,,,,
55,Benzimidazolium hydrogen carbonate salts—Investigation of thermal properties in the context of small molecule inhibitors,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004886,closed in Unpaywall,404 not found,False,closed,,,,
57,Kinetic analysis and steric-hindrance effects in thermal atomic layer deposition of high-purity cobalt films with dicobalt hexacarbonyl tert-butylacetylene as the precursor,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004888,closed in Unpaywall,404 not found,False,closed,,,,
58,Ligand Effects in Niobium Precursors for Atomic Layer Deposition of Niobium Oxide Films,Ecs Journal of Solid State Science and Technology,2025-12-01,10.1149/2162-8777/ae2778,closed in Unpaywall,404 not found,False,closed,,,,
60,Growth dynamics in patterned TiO2 deposited by direct atomic layer processing (DALP) in ambient conditions,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004868,closed in Unpaywall,404 not found,False,closed,,,,
61,Work function tuning in TiAlN thin films by trace Al doping for CMOS-compatible metal gates,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-12-01,10.1116/6.0004918,closed in Unpaywall,404 not found,False,closed,,,,
64,Optimizing the antimicrobial efficacy of dental poly (methyl methacrylate) through Al2O3 atomic layer deposition,Journal of Materials Research,2025-11-28,10.1557/s43578-025-01711-7,closed in Unpaywall,404 not found,False,closed,,,,
65,Atomic Layer Deposited Tin Oxide Buffer Layer via Layer-by-layer Growth for Efficient Semitransparent Perovskite Solar Cells,Small,2025-11-27,10.1002/smll.202502206,closed in Unpaywall,404 not found,False,closed,,,,
66,"Atomic Layer Deposition of AgX (X = Cl, Br, I) Thin Films",ACS Omega,2025-11-25,10.1021/acsomega.5c06913,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1021/acsomega.5c06913,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acsomega.5c06913')
67,Breaking the Humidity Barrier: ALD-Engineered Pt–WO3Photoelectrode for Ultra-Stable Photo-Assisted Li–O2Batteries,Chemistry of Materials,2025-11-25,10.1021/acs.chemmater.5c02049,closed in Unpaywall,404 not found,False,closed,,,,
68,"Low-Temperature Processed Al-Doped HfO2Ferroelectric Memristor with IGZO Exhibiting High Polarization, Endurance, and Retention",ACS Applied Electronic Materials,2025-11-25,10.1021/acsaelm.5c01741,closed in Unpaywall,404 not found,False,closed,,,,
69,High-Performance and Scalable Ferroelectric Diodes Enabled via 2D-MoS2 Buffer Layer Under Low Thermal Budget,Small,2025-11-20,10.1002/smll.202508853,closed in Unpaywall,404 not found,False,closed,,,,
71,Controlled Air Gap Formation between W and TiO2 Films via Sub-Surface TiO2 Atomic Layer Etching,Advanced Materials Technologies,2025-11-19,10.1002/admt.202501155,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202501155,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202501155')
72,Enhanced Area-Selective Deposition via NH3Plasma Treatment in Atomic Layer Deposition for Si/TiN Substrates,ACS Applied Materials and Interfaces,2025-11-19,10.1021/acsami.5c16213,closed in Unpaywall,404 not found,False,closed,,,,
74,Rare Mononuclear Lithium–Carbene Complex for Atomic Layer Deposition of Lithium Containing Thin Films,Angewandte Chemie International Edition,2025-11-17,10.1002/anie.202513066,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202513066,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202513066')
75,Electronic Modification at Atomic Scale: Design and Preparation of Diatomic Structures by Atomic Layer Deposition for Methanol Steam Reforming,Angewandte Chemie International Edition,2025-11-17,10.1002/anie.202514431,closed in Unpaywall,404 not found,False,closed,,,,
81,From Pinhole Density to Nucleation Onset: A Numerical Model for SAM Barrier Performance in Selective Atomic Layer Deposition,Journal of Physical Chemistry C,2025-11-13,10.1021/acs.jpcc.5c06018,closed in Unpaywall,404 not found,False,closed,,,,
82,Engineering Hydroxyl Functionalization Enables Atomically Precise ZnO Nucleation on Defective Graphene,ACS Materials Au,2025-11-12,10.1021/acsmaterialsau.5c00071,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1021/acsmaterialsau.5c00071,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acsmaterialsau.5c00071')
84,MoNxNanoscale-Thick Films Using BTBMMo and Ammonia in Plasma-Enhanced ALD for Cu Diffusion Barriers in High-Aspect-Ratio Nanohole 3D Interconnects,ACS Applied Nano Materials,2025-11-07,10.1021/acsanm.5c03862,closed in Unpaywall,404 not found,False,closed,,,,
86,Continuum ALD Model Unlocks Controllable Growth of VOxNanorods in High-Aspect-Ratio Structures at Elevated Temperatures,Crystal Growth and Design,2025-11-05,10.1021/acs.cgd.5c00436,closed in Unpaywall,404 not found,False,closed,,,,
87,Cyclic Plasma Treatment for Enhancing the Synaptic Performance of Bulk-Conductive Resistive Switching Memory,ACS Applied Materials and Interfaces,2025-11-05,10.1021/acsami.5c15918,closed in Unpaywall,404 not found,False,closed,,,,
88,Doping Engineering for Optimized Self-Rectifying TaOx Memristor for Crossbar Array Neuromorphic applications,Advanced Functional Materials,2025-11-05,10.1002/adfm.202503883,closed in Unpaywall,404 not found,False,closed,,,,
89,Unravel the Role of Atomic Layer Deposited Al2O3 with Different Precursors on Optoelectronic Properties of IGZO Synaptic Transistors,Advanced Electronic Materials,2025-11-04,10.1002/aelm.202500052,OA PDF download failed,404 not found,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500052,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202500052')
90,Pinacolborane as a Reducing Agent in the Atomic Layer Deposition of Copper and Bismuth,ACS Omega,2025-11-04,10.1021/acsomega.5c07715,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1021/acsomega.5c07715,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acsomega.5c07715')
97,Unraveling the Processing Parameters for Selective Positioning of Multi-materials Using Laser Decal Transfer,Journal of Materials Engineering and Performance,2025-11-01,10.1007/s11665-025-11138-0,closed in Unpaywall,404 not found,False,closed,,,,
99,Surface Modification of Fluorine-Free Superhydrophobic Materials with (Ultra-)Thin TiO2 Layers,Advanced Engineering Materials,2025-11-01,10.1002/adem.202501319,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1002/adem.202501319,failed,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/adem.202501319')
100,Thickness Uniformity and Tarnishing Resistance of Al2O3 Protective Film on Large Silver Cultural Heritage Artifacts,Laser and Optoelectronics Progress,2025-11-01,10.3788/LOP250552,OA PDF download failed,404 not found,True,bronze,https://www.opticsjournal.net/Articles/GetArticlePDF/OJf1aca1156da5c96e,failed,,no PDF link found on OA page
103,A catalytic sites contiguity study on atomically-dispersed ZnO-Cu/SiO2 catalysts to improve methanol formation from CO2 hydrogenation,Canadian Journal of Chemical Engineering,2025-11-01,10.1002/cjce.25683,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cjce.25683,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cjce.25683')
104,Thermally Enhanced Supercapacitive Performance of ALD-Grown TiO2 Thin Film on Phosphorus-Doped MnO2 as a Positive Electrode,Korean Journal of Chemical Engineering,2025-11-01,10.1007/s11814-025-00520-2,closed in Unpaywall,404 not found,False,closed,,,,
105,Atomic Layer Deposition of Aluminum Molybdenum Oxide Films Using Trimethylaluminum and Molybdenum Dichloride Dioxide,Russian Journal of Inorganic Chemistry,2025-11-01,10.1134/S0036023625603848,closed in Unpaywall,404 not found,False,closed,,,,
106,"Atomic Layer Deposition for Perovskite Solar Cells: Interface Engineering, Stability Enhancement, and Future Prospects",Nanomaterials,2025-11-01,10.3390/nano15211674,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2079-4991/15/21/1674/pdf?version=1762239757,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2079-4991/15/21/1674/pdf?version=1762239757')
108,Ab Initio Insights into the Reactivity of Precursors in Atomic Layer Deposition: A Case Study of GeAsSe,Journal of Physical Chemistry C,2025-10-30,10.1021/acs.jpcc.5c05127,closed in Unpaywall,404 not found,False,closed,,,,
110,Role of Precursor Miscibility in Area-Selective Atomic Layer Deposition,Advanced Materials,2025-10-29,10.1002/adma.202506699,closed in Unpaywall,404 not found,False,closed,,,,
111,Gain regulation of Microchannel Plate via Atomic Layer Deposition of Al2O3 Films,Proceedings of SPIE the International Society for Optical Engineering,2025-10-28,10.1117/12.3083842,closed in Unpaywall,404 not found,False,closed,,,,
112,Growth of AlxGa1-xN Thin Films with Controllable Composition and Optical Bandgap on 4H-SiC by Sub-Cycle Incomplete Reaction Plasma Enhanced Atomic Layer Deposition,Advanced Functional Materials,2025-10-22,10.1002/adfm.202423911,OA PDF download failed,404 not found,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423911,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423911')
113,Highly Reliable Hf1-XZrXO2 with Ultra-Low Operation Voltage (< 1 V) Enabled by Stoichiometric Control of Tungsten Oxide Interfacial Layer,Advanced Materials Technologies,2025-10-20,10.1002/admt.202500507,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500507,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admt.202500507')
115,Evaluating Machine Learning Interatomic Potentials for Accurate and Scalable Modeling of Organometallic Precursors,ACS Applied Materials and Interfaces,2025-10-15,10.1021/acsami.5c09107,closed in Unpaywall,404 not found,False,closed,,,,
120,"Optimized ALD-ZnO Thin Films for High-Performance 12 μm Pixel Microbolometers: Fabrication, Simulation, and Design Strategies for Infrared Sensing",ACS Applied Electronic Materials,2025-10-14,10.1021/acsaelm.5c01235,closed in Unpaywall,404 not found,False,closed,,,,
121,Local Structure and Surface Acidity of Overlayers Prepared by Atomic Layer Deposition of Silica on Alumina,Chemistry of Materials,2025-10-14,10.1021/acs.chemmater.5c01832,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1021/acs.chemmater.5c01832,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acs.chemmater.5c01832')
122,Monomeric Sr Complexes Combined with Tetradentate Enaminolate Ligands for Containing Sr Thin-Film Deposition,Inorganic Chemistry,2025-10-13,10.1021/acs.inorgchem.5c02456,closed in Unpaywall,404 not found,False,closed,,,,
123,Plasma-enhanced atomic layer deposition of elemental niobium thin films,Applied Physics Letters,2025-10-13,10.1063/5.0267694,closed in Unpaywall,404 not found,False,closed,,,,
124,A Higher-Yielding Route for the Synthesis of Molecular Precursors to Thin Films of Gold by Atomic Layer Deposition,Organometallics,2025-10-13,10.1021/acs.organomet.5c00242,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1021/acs.organomet.5c00242,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acs.organomet.5c00242')
128,Visualizing Molybdenum Pentachloride Flow During Vapor Deposition Processes Using Absorption Imaging,Applied Spectroscopy,2025-10-01,10.1177/00037028251325565,OA PDF download failed,404 not found,True,bronze,https://journals.sagepub.com/doi/pdf/10.1177/00037028251325565,failed,,HTTPError('403 Client Error: Forbidden for url: https://journals.sagepub.com/doi/pdf/10.1177/00037028251325565')
129,Tip treatment for subnanoscale atomic force microscopy in liquid by atomic layer deposition Al2O3 coating,Microscopy,2025-10-01,10.1093/jmicro/dfaf014,OA PDF download failed,404 not found,True,hybrid,https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfaf014/62203930/dfaf014.pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfaf014/62203930/dfaf014.pdf')
130,Temperature-Dependent Growth Mechanisms and Optical Properties of MgF2 Thin Films Synthesized by Plasma-Enhanced Atomic Layer Deposition,Chemistry Switzerland,2025-10-01,10.3390/chemistry7050147,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2624-8549/7/5/147/pdf?version=1757936458,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2624-8549/7/5/147/pdf?version=1757936458')
133,Molecular Rare-Earth Metal and Actinide Precursors for Chemical Vapor Deposition,ACS Applied Materials and Interfaces,2025-10-01,10.1021/acsami.5c13287,closed in Unpaywall,404 not found,False,closed,,,,
136,Nickel and Palladium Allyl-Triazenide Precursors for the Generation of Supported Nanoparticles,Helvetica Chimica Acta,2025-10-01,10.1002/hlca.202500079,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hlca.202500079,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hlca.202500079')
138,Precision surface tailoring via chemical vapor deposition to electrospun nanofibers for next-generation applications,Carbon Letters,2025-10-01,10.1007/s42823-025-00957-9,closed in Unpaywall,404 not found,False,closed,,,,
139,Enhanced cyclability of lithium-ion batteries resulting from atomic layer deposition of Al2O3 on LiFePO4 electrodes,Journal of Solid State Electrochemistry,2025-10-01,10.1007/s10008-024-05890-x,closed in Unpaywall,404 not found,False,closed,,,,
140,Artificial Solid Electrolyte Interphase Developed In Vitro by Tailoring Molecular Layer Deposition of a Li-Ion-Containing Electrolyte on Carbonaceous Anode Materials,ACS Applied Materials and Interfaces,2025-10-01,10.1021/acsami.5c08880,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1021/acsami.5c08880,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acsami.5c08880')
146,Effect of Growth Temperature on the Quality of Atomic Layer Deposited Aluminum Nitride Thin Films on Metallic Substrates,Bandaoti Guangdian Semiconductor Optoelectronics,2025-10-01,10.16818/j.issn1001-5868.20250529001,DOI not found in Unpaywall,404 not found,,doi_not_found,,,,
147,The Stabilization by Morphotropic Phase Boundary with a MoOxCap on Hf1−xZrxO2Dielectrics,Ecs Journal of Solid State Science and Technology,2025-10-01,10.1149/2162-8777/ae0db7,closed in Unpaywall,404 not found,False,closed,,,,
148,"Atomic Layer Deposition of AlMoxOy Films Using Aluminum Trichloride or Trimethylaluminum and Quantum-Chemical Calculations of Growth, Reduction, and Conversion Processes",Russian Journal of Inorganic Chemistry,2025-10-01,10.1134/S0036023625602855,closed in Unpaywall,404 not found,False,closed,,,,
150,Navigating Scaling Methods Using High-K/2D Integration in a Transistor,Transactions on Electrical and Electronic Materials,2025-10-01,10.1007/s42341-025-00664-2,closed in Unpaywall,404 not found,False,closed,,,,
152,Functionalization of Si3N4 with an aldehyde inhibitor for area selective deposition of HfO2 and SiO2,Journal of Materials Chemistry C,2025-09-26,10.1039/d5tc01969a,closed in Unpaywall,404 not found,False,closed,,,,
153,Enhanced Stability and Performance of High-Voltage LNMO Cathodes with Dual-Anion Niobium Oxyfluoride Coating,Small,2025-09-25,10.1002/smll.202505389,closed in Unpaywall,404 not found,False,closed,,,,
154,Tailoring CuOx Films via Open-Air Spatial Atomic Layer Deposition and Their Application in Room-Temperature Humidity Sensing,Small,2025-09-25,10.1002/smll.202506835,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202506835,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202506835')
155,Atomic Layer Deposition of Zinc-Oxide Layers for Photoassisted Lithium Metal Batteries,ACS Applied Materials and Interfaces,2025-09-24,10.1021/acsami.5c11206,closed in Unpaywall,404 not found,False,closed,,,,
156,Region-Selective Oxygen Vacancy Engineering for Ferroelectric Hf0.5Zr0.5O2Thin Films Processed at 300 °C,ACS Applied Materials and Interfaces,2025-09-24,10.1021/acsami.5c08743,closed in Unpaywall,404 not found,False,closed,,,,
157,Suppressing failure mechanisms in thick Ni-rich cathodes using angstrom-level alumina coatings,Journal of Materials Chemistry A,2025-09-23,10.1039/d5ta03170b,closed in Unpaywall,404 not found,False,closed,,,,
158,Size-Controlled and Sintering-Resistant Sub-3 nm Pt Nanoparticles on Graphene by Temperature-Variation Atomic Layer Deposition,Langmuir,2025-09-23,10.1021/acs.langmuir.5c03532,closed in Unpaywall,404 not found,False,closed,,,,
159,Precursor Engineering of Atomic Layer Deposition for Top-Gate Insulators on Monolayer MoS2Transistors,ACS Nano,2025-09-23,10.1021/acsnano.5c10705,closed in Unpaywall,404 not found,False,closed,,,,
160,Reaction Mechanisms in Copper Atomic Layer Deposition Using Copper(II) Hexafluoroacetylacetonate and Diethylzinc via In Situ Time-of-Flight Mass Spectrometry,Chemistry of Materials,2025-09-23,10.1021/acs.chemmater.5c01521,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1021/acs.chemmater.5c01521,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acs.chemmater.5c01521')
161,In Vacuo Studies on the Mechanism of Inherently Area-Selective Atomic Layer Deposition of Iridium,Chemistry of Materials,2025-09-23,10.1021/acs.chemmater.5c01484,OA PDF download failed,404 not found,True,hybrid,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.5c01484?ref=article_openPDF,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.5c01484?ref=article_openPDF')
162,Orientation-dependent β-Ga2O3 heterojunction diode with atomic layer deposition (ALD) NiO,Applied Physics Letters,2025-09-22,10.1063/5.0285622,closed in Unpaywall,404 not found,False,closed,,,,
164,Steric Barriers in Area-Selective Atomic Layer Deposition: Theoretical Insights into Al Precursors on Octadecanethiol-Covered Cu Substrates,Journal of Physical Chemistry C,2025-09-18,10.1021/acs.jpcc.5c02373,closed in Unpaywall,404 not found,False,closed,,,,
165,Atomic Layer Deposition of ZrO2Films at High Temperatures (>350 °C) Using a Modified Cyclopentadienyl Zr Precursor,ACS Applied Materials and Interfaces,2025-09-17,10.1021/acsami.5c11791,closed in Unpaywall,404 not found,False,closed,,,,
166,Low-temperature nano-heteroepitaxy of the entire III-nitride semiconductor family using plasma-ALD,Proceedings of SPIE the International Society for Optical Engineering,2025-09-17,10.1117/12.3068333,closed in Unpaywall,404 not found,False,closed,,,,
